OurLabID,Sample ID,d2H,Comment,sampleType,Band,Location,date,Time,Species,Band Size,RFID,L Leg,R Leg,Age,Sex,Mass,Fat,Bill Depth,Wing,Tail,Tarsus,Bander,Band String Permit,Notes,ID,decimalLatitude,decimalLongitude
G-57673,2831-20363,-137.39,,Feather,2831-20363,Powder Mountain,2020-04-15T00:00:00Z,1899-12-31T12:38:00Z,GCRF,1B,01103FDF8F,Green RFID,Aluminum,After Second Year,Female,27.5,3,-,99,66,20.4,KSS,Rushing,Hepburns,X2831.20363,41.370703,-111.768111
G-57674,2831-20343,-106.32,,Feather,2831-20343,Powder Mountain,2020-04-15T00:00:00Z,1899-12-31T10:25:00Z,GCRF,1B,01103FE1E8,Green RFID,Aluminum,After Second Year,Female,26.5,2,-,100,65,19.72,KSS,Rushing,Hepburns,X2831.20343,41.370703,-111.768111
G-57675,2831-20356,-113.58,,Feather,2831-20356,Powder Mountain,2020-04-15T00:00:00Z,1899-12-31T12:00:00Z,GCRF,1B,01103FD8AF,Green RFID,Aluminum,Second Year,Female,33.9,6,-,100,61,19.33,KSS,Rushing,"Hepburns, strange fat(?) reserves in underwings symetric and bulging adding ~4mm to bird width on each side, bulges gave resistance unlike an inflated airsac, so assumption was auxillary fat deposits",X2831.20356,41.370703,-111.768111
G-57676,2831-20379,-124.16,,Feather,2831-20379,Powder Mountain,2020-04-15T00:00:00Z,1899-12-31T16:22:00Z,GCRF,1B,01103FD847,Green RFID,Aluminum,Second Year,Unknown,26.3,1,-,98,61,19.42,KSS,Rushing,Hepburns,X2831.20379,41.370703,-111.768111
G-57677,2831-20362,-119.83,,Feather,2831-20362,Powder Mountain,2020-04-15T00:00:00Z,1899-12-31T12:20:00Z,GCRF,1B,01103FDA83,Green RFID,Aluminum,Second Year,Male,30.5,3,-,99,64,21.37,KSS,Rushing,Hepburns,X2831.20362,41.370703,-111.768111
G-57678,2831-20353,-116.73,,Feather,2831-20353,Powder Mountain,2020-04-15T00:00:00Z,1899-12-31T11:52:00Z,GCRF,1B,01103F4A42,Green RFID,Aluminum,Second Year,Male,29.8,2,-,103,64,20.88,KSS,Rushing,Hepburns,X2831.20353,41.370703,-111.768111
G-57679,2831-20350,-125.02,,Feather,2831-20350,Powder Mountain,2020-04-15T00:00:00Z,1899-12-31T11:45:00Z,GCRF,1B,01103FE641,Green RFID,Aluminum,Second Year,Male,24.9,1,-,100,62,19.6,KSS,Rushing,Hepburns,X2831.20350,41.370703,-111.768111
G-57680,2831-20348,-119.72,,Feather,2831-20348,Powder Mountain,2020-04-15T00:00:00Z,1899-12-31T11:30:00Z,GCRF,1B,01103FDB2C,Green RFID,Aluminum,Second Year,Male,33.4,3,-,106,66,20.89,KSS,Rushing,Hepburns,X2831.20348,41.370703,-111.768111
G-57681,2831-20385,-130.98,,Feather,2831-20385,Powder Mountain,2020-04-23T00:00:00Z,1899-12-31T13:42:00Z,GCRF,1B,01103FDB61,Green RFID,Aluminum,Second Year,Female,29.4,3,7.1,101,62,19.04,KSS,Rushing,,X2831.20385,41.370703,-111.768111
G-57682,2831-20386,-133.81,,Feather,2831-20386,Alta,2020-05-01T00:00:00Z,1899-12-31T10:20:00Z,GCRF,1B,01103FDA50,Yellow RFID,Aluminum,Second Year,Female,29.6,2,-,102,65,19.93,KSS,Rushing,,X2831.20386,40.590428,-111.63723
